"","Country","(ES$Country %in% countries_1985_05)","AQ","CSEQ","CSTORE","REC","WQ","WA","LIVE","CROP","Dev","MEAN","avg_gini","avg_gini2","Data.Quality","HDI","Per.Capita.GDP","Region","Income.Group","Population..millions.","Cropland.Footprint","Grazing.Footprint","Forest.Product.Footprint","Carbon.Footprint","Fish.Footprint","Built.up.land","Total.Ecological.Footprint"
"1","Algeria",TRUE,0.000776926,-30.1456,26.3305,14.2225,0.00305445,166.811,0.998627,0.443796,"Rest of World",0.00305445,33.8713134059906,30.9744597268105,"5",0.731827,5430.57,"Africa","UM",38.48,0.6,0.16,0.17,1.14,0.01,0.03,2.12
"2","Angola",TRUE,0.0037241,117.847,157.904,12.9647,0.00543039,17.6035,2.34682,0.01630905,"Least Developed",0.00543039,54.7313186950684,40.0905143928528,"6",0.524199,4665.91,"Africa","LM",20.82,0.33,0.15,0.12,0.2,0.09,0.04,0.93
"3","Argentina",TRUE,0.00379379,-70.0051,118.508,15.9127,0.0018006,15.7256,13.1718,2.04112,"Rest of World",0.0018006,45.8718155708313,42.3034218826294,"6",0.830566,13540,"Latin America","UM",41.09,0.78,0.79,0.29,1.08,0.1,0.1,3.14
"4","Armenia",TRUE,0.00386137,-76.2917,108.943,17.2042,0.0039424,99.7908,14.748,0.863905,"Rest of World",0.0039424,38.9378925094604,27.7424795055389,"3B",0.727811,3426.39,"Middle East/Central Asia","LM",2.97,0.74,0.18,0.34,0.89,0.01,0.07,2.23
"5","Australia",TRUE,0.00331551,-183.398,79.7474,14.12,0.000966308,7.11269,3.08753,1.045809,"Most Developed",0.000966308,31.0735954284668,30.2357955913544,"5",0.93219,66604.2,"Asia-Pacific","HI",23.05,2.68,0.63,0.89,4.85,0.11,0.14,9.31
"6","Austria",TRUE,0.0139509,147.454,124.405,15.4582,0.02033,152.198,20.9333,1.959381,"Most Developed",0.02033,26.8548175354004,25.466297938029,"5",0.883921,51274.1,"EU-27","HI",8.46,0.82,0.27,0.63,4.14,0.06,0.15,6.06
"7","Azerbaijan",TRUE,0.00510696,-123.845,90.0692,13.4842,0.0029026,39.8061,19.4224,1.331342,"Rest of World",0.0029026,29.8223648452759,31.0575234260559,"6",0.745053,7106.04,"Middle East/Central Asia","UM",9.31,0.66,0.22,0.11,1.25,0.01,0.06,2.31
"8","Bangladesh",TRUE,0.00752896,106.814,136.772,14.2173,0.0402244,656.457,109.682,39.94809,"Least Developed",0.0402244,38.7657738494873,34.2208132095337,"6",0.562883,857.496,"Asia-Pacific","LI",154.7,0.29,0,0.08,0.26,0.02,0.07,0.72
"9","Belarus",TRUE,0.00776775,116.128,254.002,14.5247,0.00405603,56.1201,14.6844,2.32424,"Rest of World",0.00405603,22.9584816684723,23.6601367664337,"6",0.796129,6300.45,"Other Europe","UM",9.4,1.32,0.12,0.91,2.57,0.08,0.09,5.09
"10","Belgium",TRUE,0.0571336,220.119,110.622,15.7609,0.00335412,377.854,86.3099,2.033246,"Most Developed",0.00335412,26.4724324378967,23.6931091213226,"6",0.888567,48053.3,"EU-27","HI",11.06,1.15,0.48,0.99,4.43,0.12,0.27,7.44
"11","Bolivia",TRUE,0.00391944,332.029,170.536,15.8658,0.00129596,10.5542,5.30574,0.082408,"Rest of World",0.00129596,54.5734977264404,47.4198560060774,"5",0.653591,2253.09,"Latin America","LM",10.5,0.37,1.69,0.17,0.67,0.01,0.06,2.96
"12","Bosnia and Herzegovina",TRUE,0.0127188,125.931,91.9662,12.0695,0.0121536,81.3678,9.68324,0.909743,"Rest of World",0.0121536,30.6489715747833,30.3263576507568,"5",0.725661,4708.85,"Other Europe","UM",3.83,0.63,0.27,0.44,1.74,0.02,0.02,3.12
"13","Botswana",TRUE,0.00313331,52.0035,70.6467,16.9719,0.000368937,4.00522,2.36043,0.002740316,"Rest of World",0.000368937,50.646291267395,52.7349047737122,"3B",0.69136,7743.5,"Africa","UM",2,0.3,0.89,0.24,2.36,0.01,0.02,3.83
"14","Brazil",TRUE,0.00572113,151.168,188.801,16.4944,0.00206279,21.7067,16.3662,1.192973,"Rest of World",0.00206279,50.323057434082,51.5915873756409,"5",0.746488,13237.6,"Latin America","UM",198.66,0.62,0.85,0.6,0.91,0.04,0.09,3.11
"15","Bulgaria",TRUE,0.0126771,9.73365,104.691,20.4245,0.00403249,73.5571,5.69666,6.423337,"Rest of World",0.00403249,27.8312956542969,22.279492061615,"5",0.778056,7615.28,"EU-27","UM",7.28,0.6,0.13,0.35,2.08,0.03,0.13,3.32
"16","Burkina Faso",TRUE,0.00255482,-345.671,69.9819,14.2443,0.0074653,66.3651,20.4781,1.543207,"Least Developed",0.0074653,46.8105342178345,43.3814295578003,"5",0.392513,671.065,"Africa","LI",16.46,0.47,0.17,0.36,0.12,0.03,0.05,1.21
"17","Burundi",TRUE,0.00570319,29.7026,198.963,14.2985,0.0484618,310.181,11.2695,9.44544,"Least Developed",0.0484618,36.0126210422516,34.1234074258804,"4",0.394528,276.688,"Africa","LI",9.85,0.21,0.07,0.45,0.04,0,0.03,0.8
"18","Cambodia",TRUE,0.00596715,-189.422,134.096,17.1077,0.0220703,102.805,13.6971,3.536216,"Least Developed",0.0220703,42.0552553138733,39.6925505828857,"3T",0.545975,877.635,"Asia-Pacific","LI",14.86,NA,NA,NA,NA,NA,NA,1.21
"19","Canada",TRUE,0.00136613,-55.8055,188.914,12.495,0.000489483,2.61297,0.86114,0.894337,"Most Developed",0.000489483,31.0453776988983,27.9483615474701,"5",0.910431,52145.4,"North America","HI",34.84,1.46,0.33,1.2,5,0.12,0.07,8.17
"20","Central African Republic",TRUE,0.00382954,-243.747,183.344,14.8178,0.00384453,12.1799,3.82706,0.03360305,"Least Developed",0.00384453,45.8895608520508,52.3228146934509,"6",0.372625,495.035,"Africa","LI",4.53,0.3,0.55,0.26,0.08,0.02,0.04,1.24
"21","Chile",TRUE,0.0047181,71.2859,182.882,17.4745,0.00389544,26.3776,4.03065,0.1121266,"Rest of World",0.00389544,50.8516289825439,50.3855171318054,"6",0.826742,14525.8,"Latin America","UM",17.46,0.61,0.33,0.99,2.04,0.25,0.15,4.36
"22","China",TRUE,0.0109831,-88.8894,78.7324,13.3317,0.0153077,184.648,15.1999,3.868439,"Rest of World",0.0153077,44.4225195007324,35.6232819042206,"6",0.718034,5560.94,"Asia-Pacific","UM",1408.04,0.55,0.13,0.19,2.32,0.08,0.12,3.38
"23","Colombia",TRUE,0.00750891,11.1293,288.715,12.9737,0.00510692,41.982,14.8886,0.1014252,"Rest of World",0.00510692,51.3336622505188,50.1790508270264,"6",0.715045,7305.22,"Latin America","UM",47.7,0.35,0.58,0.16,0.67,0.03,0.09,1.87
"24","Costa Rica",TRUE,0.015729,145.187,339.171,15.2635,0.0135326,90.8393,14.694,0.480439,"Rest of World",0.0135326,43.9012564659119,41.1678594245911,"5",0.760762,8979.96,"Latin America","UM",4.8,0.4,0.21,0.68,1.37,0.08,0.1,2.84
"25","Croatia",TRUE,0.0138203,97.3833,82.4005,19.5676,0.00724198,51.8105,10.1998,1.641482,"Rest of World",0.00724198,28.248616104126,29.3629636001587,"6",0.816563,14522.8,"Other Europe","HI",4.31,0.74,0.13,0.72,2.21,0.06,0.06,3.92
"26","Czech Republic",TRUE,0.0218879,137.132,104.982,16.334,0.0102593,204.64,16.6481,5.159171,"Most Developed",0.0102593,25.4622846221924,21.1194203472137,"5",0.866594,21676.3,"EU-27","HI",10.66,0.62,0.24,0.74,3.42,0.03,0.13,5.19
"27","Denmark",TRUE,0.0307302,219.872,126.311,14.2709,0.00326624,102.169,62.7514,6.67108,"Most Developed",0.00326624,22.5909001312256,24.5161006374359,"5",0.921084,61413.6,"EU-27","HI",5.6,1.18,0.47,0.77,2.6,0.24,0.25,5.51
"28","Djibouti",TRUE,0.000765225,-117.551,12.4112,13.8665,0.00223,110.366,9.63742,0,"Least Developed",0.00223,37.7693980503082,34.1421395301819,"2",0.464584,1433.17,"Africa","LM",0.86,NA,NA,NA,NA,NA,NA,2.19
"29","Dominican Republic",TRUE,0.0178837,179.969,136.508,16.8893,0.0130474,200.211,32.3152,1.295903,"Rest of World",0.0130474,48.262213809967,46.5117013778687,"6",0.707893,6085.89,"Latin America","UM",10.28,0.35,0.12,0.12,0.86,0.04,0.05,1.53
"30","Ecuador",TRUE,0.00732976,246.764,277.568,14.3646,0.00564807,57.0895,13.8346,0.970641,"Rest of World",0.00564807,51.0165534286499,48.7358183860779,"5",0.726839,5192.88,"Latin America","UM",15.49,0.3,0.3,0.24,1.08,0.18,0.06,2.17
"31","Egypt",TRUE,0.00160986,31.5959,22.6246,16.5753,1.6095e-07,0.00153517,3.38011,1.760168,"Rest of World",1.6095e-07,52.7023820915222,49.8212559954325,"5",0.687703,2930.33,"Africa","LM",80.72,0.68,0.08,0.17,1.02,0.04,0.15,2.15
"32","El Salvador",TRUE,0.0202724,494.996,187.156,15.6183,0.0235443,261.81,43.6432,9.00406,"Rest of World",0.0235443,46.7215280532837,44.4902519825527,"5",0.662375,3696.33,"Latin America","LM",6.3,0.44,0.21,0.4,0.84,0.14,0.05,2.07
"33","Estonia",TRUE,0.0120376,85.667,280.154,17.6855,0.0018466,29.3983,4.69536,0.632354,"Rest of World",0.0018466,35.3828330307007,27.9479859199524,"3T",0.854625,17304.4,"EU-27","HI",1.29,NA,NA,NA,NA,NA,NA,6.86
"34","Ethiopia",TRUE,0.00363014,-91.8733,74.8054,14.8166,0.0197002,122.256,24.9271,1.181968,"Least Developed",0.0197002,30.4780756568909,39.1958428192139,"6",0.429436,379.381,"Africa","LI",91.73,0.31,0.12,0.46,0.07,0,0.06,1.02
"35","Fiji",TRUE,0.000482571,93.4977,200.008,14.2026,0.0126452,43.7169,8.95268,0.311628,"Rest of World",0.0126452,37.2400040435791,39.6310178451538,"5",0.721959,4201.37,"Asia-Pacific","UM",0.88,0.55,0.2,0.42,1.06,0.62,0.04,2.9
"36","Finland",TRUE,0.00431494,11.6148,438.16,17.4613,0.00305262,15.381,4.47476,0.1348957,"Most Developed",0.00305262,24.5289469051361,20.9310586738586,"3T",0.881737,50960.2,"EU-27","HI",5.41,NA,NA,NA,NA,NA,NA,5.87
"37","France",TRUE,0.0221956,237.244,103.553,15.5413,0.00901805,124.87,27.6352,6.023168,"Most Developed",0.00901805,28.0244610767365,28.4520574678694,"6",0.885878,45430.3,"EU-27","HI",63.98,1.23,0.27,0.53,2.71,0.19,0.21,5.14
"38","Gambia",TRUE,0.00368642,-83.2807,90.8565,12.6674,0.00426943,25.0493,22.9304,5.056549,"Least Developed",0.00426943,44.9892555332184,39.9500429821014,"5",0.440201,505.761,"Africa","LI",1.79,0.46,0.05,0.2,0.21,0.08,0.03,1.03
"39","Georgia",TRUE,0.00399482,-5.92464,100.901,13.9324,0.0139894,90.5843,12.146,0.39266,"Rest of World",0.0139894,40.3354590644836,30.6137919864655,"3B",0.747002,3710.7,"Middle East/Central Asia","LM",4.36,0.39,0.2,0.1,0.83,0.02,0.04,1.58
"40","Germany",TRUE,0.0328238,151.182,151.013,20.4457,0.00672808,208.717,34.0656,4.754969,"Most Developed",0.00672808,27.2827463989258,26.5513164901733,"5",0.914763,46822.4,"EU-27","HI",82.8,1.1,0.14,0.48,3.28,0.05,0.24,5.3
"41","Ghana",TRUE,0.005499,-346.893,158.585,16.0277,0.00559459,87.6781,4.61538,3.76201,"Rest of World",0.00559459,37.7405696544647,35.2479458003574,"6",0.571864,1627.9,"Africa","LM",25.37,0.56,0.07,0.65,0.43,0.19,0.07,1.97
"42","Greece",TRUE,0.0135043,-56.7943,89.4494,18.4088,0.00380404,68.8396,6.37622,4.22946,"Most Developed",0.00380404,34.0576642780304,33.799116142273,"5",0.864588,25987.4,"EU-27","HI",11.12,1.07,0.35,0.24,2.58,0.08,0.06,4.38
"43","Guatemala",TRUE,0.0103186,381.92,226.93,16.5469,0.0169237,150.566,19.7545,1.772824,"Rest of World",0.0169237,49.2039603691101,51.2871799723307,"5",0.623908,3233.8,"Latin America","LM",15.08,0.37,0.16,0.58,0.7,0.01,0.07,1.89
"44","Guinea",TRUE,0.00572524,-267.907,158.926,13.7158,0.01531,73.6679,10.184,0.630966,"Least Developed",0.01531,38.6070519218445,38.6663158416748,"5",0.409345,459.086,"Africa","LI",11.45,0.39,0.32,0.45,0.16,0.05,0.04,1.41
"45","Guinea-Bissau",TRUE,0.00449469,-246.831,198.145,18.3779,0.00857644,43.1174,11.7141,0.844972,"Least Developed",0.00857644,38.0136106796265,47.5039904403687,"6",0.416758,681.254,"Africa","LI",1.66,0.35,0.36,0.67,0.09,0.01,0.06,1.53
