Country,AQ,CSEQ,CSTORE,REC,WQ,WA,LIVE,CROP,Dev,MEAN
Afghanistan,0.00103327,-202.894,41.3073,12.6046,0.01564510000,76.8039,4.84286,0.16709591,Least Developed,0.01564510000
Albania,0.00817695,81.5796,104.417,12.8611,0.00959074000,129.834,17.6709,1.567132,Rest of World,0.00959074000
Algeria,0.000776926,-30.1456,26.3305,14.2225,0.00305445000,166.811,0.998627,0.443796,Rest of World,0.00305445000
Angola,0.0037241,117.847,157.904,12.9647,0.00543039000,17.6035,2.34682,0.01630905,Least Developed,0.00543039000
Argentina,0.00379379,-70.0051,118.508,15.9127,0.00180060000,15.7256,13.1718,2.04112,Rest of World,0.00180060000
Armenia,0.00386137,-76.2917,108.943,17.2042,0.00394240000,99.7908,14.748,0.863905,Rest of World,0.00394240000
Australia,0.00331551,-183.398,79.7474,14.12,0.00096630800,7.11269,3.08753,1.045809,Most Developed,0.00096630800
Austria,0.0139509,147.454,124.405,15.4582,0.02033000000,152.198,20.9333,1.959381,Most Developed,0.02033000000
Azerbaijan,0.00510696,-123.845,90.0692,13.4842,0.00290260000,39.8061,19.4224,1.331342,Rest of World,0.00290260000
Bahamas,0.00132136,-350.546,70.4649,17.4097,0.00002524430,0.130193,0.416678,0.00417075,Rest of World,0.00002524430
Bangladesh,0.00752896,106.814,136.772,14.2173,0.04022440000,656.457,109.682,39.94809,Least Developed,0.04022440000
Belarus,0.00776775,116.128,254.002,14.5247,0.00405603000,56.1201,14.6844,2.32424,Rest of World,0.00405603000
Belgium,0.0571336,220.119,110.622,15.7609,0.00335412000,377.854,86.3099,2.033246,Most Developed,0.00335412000
Belize,0.00628077,538.486,238.11,19.4493,0.00331915000,12.346,2.15987,0.495416,Rest of World,0.00331915000
Benin,0.00609427,-339.265,143.573,16.4721,0.00938698000,57.7014,10.5845,3.5416,Least Developed,0.00938698000
Bhutan,0.00401361,364.047,156.492,17.0951,0.04635990000,194.904,6.10396,0.0462774,Least Developed,0.04635990000
Bolivia,0.00391944,332.029,170.536,15.8658,0.00129596000,10.5542,5.30574,0.082408,Rest of World,0.00129596000
Bosnia and Herzegovina,0.0127188,125.931,91.9662,12.0695,0.01215360000,81.3678,9.68324,0.909743,Rest of World,0.01215360000
Botswana,0.00313331,52.0035,70.6467,16.9719,0.00036893700,4.00522,2.36043,0.002740316,Rest of World,0.00036893700
Brazil,0.00572113,151.168,188.801,16.4944,0.00206279000,21.7067,16.3662,1.192973,Rest of World,0.00206279000
Bulgaria,0.0126771,9.73365,104.691,20.4245,0.00403249000,73.5571,5.69666,6.423337,Rest of World,0.00403249000
Burkina Faso,0.00255482,-345.671,69.9819,14.2443,0.00746530000,66.3651,20.4781,1.543207,Least Developed,0.00746530000
Burundi,0.00570319,29.7026,198.963,14.2985,0.04846180000,310.181,11.2695,9.44544,Least Developed,0.04846180000
Cambodia,0.00596715,-189.422,134.096,17.1077,0.02207030000,102.805,13.6971,3.536216,Least Developed,0.02207030000
Cameroon,0.00586575,-16.8999,221.167,14.7562,0.00838245000,50.9519,9.08221,0.660473,Rest of World,0.00838245000
Canada,0.00136613,-55.8055,188.914,12.495,0.00048948300,2.61297,0.86114,0.894337,Most Developed,0.00048948300
Central African Republic,0.00382954,-243.747,183.344,14.8178,0.00384453000,12.1799,3.82706,0.03360305,Least Developed,0.00384453000
Chad,0.00116929,-88.2198,48.3479,13.937,0.00283104000,15.6687,3.34966,0.0830019,Least Developed,0.00283104000
Chile,0.0047181,71.2859,182.882,17.4745,0.00389544000,26.3776,4.03065,0.1121266,Rest of World,0.00389544000
China,0.0109831,-88.8894,78.7324,13.3317,0.01530770000,184.648,15.1999,3.868439,Rest of World,0.01530770000
Colombia,0.00750891,11.1293,288.715,12.9737,0.00510692000,41.982,14.8886,0.1014252,Rest of World,0.00510692000
"Congo, Republic of",0.00569754,55.9256,302.079,13.9918,0.00371373000,9.99297,0.501552,0.01870487,Rest of World,0.00371373000
"Congo, Democratic Republic of",0.00502923,84.8079,241.043,14.3117,0.00596824000,26.1203,0.300208,0.0725243,Least Developed,0.00596824000
Costa Rica,0.015729,145.187,339.171,15.2635,0.01353260000,90.8393,14.694,0.480439,Rest of World,0.01353260000
Cote d'Ivoire,0.00519292,-181.318,181.094,16.6692,0.00799986000,55.8665,3.28391,1.991513,Rest of World,0.00799986000
Croatia,0.0138203,97.3833,82.4005,19.5676,0.00724198000,51.8105,10.1998,1.641482,Rest of World,0.00724198000
Cuba,0.0109629,218.187,120.269,15.5723,0.00506361000,95.8459,25.01,2.142909,Rest of World,0.00506361000
Czech Republic,0.0218879,137.132,104.982,16.334,0.01025930000,204.64,16.6481,5.159171,Most Developed,0.01025930000
Denmark,0.0307302,219.872,126.311,14.2709,0.00326624000,102.169,62.7514,6.67108,Most Developed,0.00326624000
Djibouti,0.000765225,-117.551,12.4112,13.8665,0.00223000000,110.366,9.63742,0,Least Developed,0.00223000000
Dominican Republic,0.0178837,179.969,136.508,16.8893,0.01304740000,200.211,32.3152,1.295903,Rest of World,0.01304740000
Ecuador,0.00732976,246.764,277.568,14.3646,0.00564807000,57.0895,13.8346,0.970641,Rest of World,0.00564807000
Egypt,0.00160986,31.5959,22.6246,16.5753,0.00000016095,0.00153517,3.38011,1.760168,Rest of World,0.00000016095
El Salvador,0.0202724,494.996,187.156,15.6183,0.02354430000,261.81,43.6432,9.00406,Rest of World,0.02354430000
Equatorial Guinea,0.00515493,-20.1855,282.258,17.3685,0.00318694000,10.3488,0.178254,0.1327836,Least Developed,0.00318694000
Eritrea,0.00148841,-201.844,37.3397,13.5313,0.00403115000,59.6038,8.82456,0.2711885,Least Developed,0.00403115000
Estonia,0.0120376,85.667,280.154,17.6855,0.00184660000,29.3983,4.69536,0.632354,Rest of World,0.00184660000
Ethiopia,0.00363014,-91.8733,74.8054,14.8166,0.01970020000,122.256,24.9271,1.181968,Least Developed,0.01970020000
Falkland Islands,0.00528684,-96.2683,13.5003,12.0697,0.00002075330,0.064311,1.80283,0,Rest of World,0.00002075330
Fiji,0.000482571,93.4977,200.008,14.2026,0.01264520000,43.7169,8.95268,0.311628,Rest of World,0.01264520000
Finland,0.00431494,11.6148,438.16,17.4613,0.00305262000,15.381,4.47476,0.1348957,Most Developed,0.00305262000
France,0.0221956,237.244,103.553,15.5413,0.00901805000,124.87,27.6352,6.023168,Most Developed,0.00901805000
French Guiana,0.00400849,194.928,281.874,11.3671,0.00082122300,2.01058,0.116837,0.000562606,Rest of World,0.00082122300
Gabon,0.00618412,92.5411,269.703,14.7755,0.00199973000,5.5576,0.221435,0.0186021,Rest of World,0.00199973000
Gambia,0.00368642,-83.2807,90.8565,12.6674,0.00426943000,25.0493,22.9304,5.056549,Least Developed,0.00426943000
Georgia,0.00399482,-5.92464,100.901,13.9324,0.01398940000,90.5843,12.146,0.39266,Rest of World,0.01398940000
Germany,0.0328238,151.182,151.013,20.4457,0.00672808000,208.717,34.0656,4.754969,Most Developed,0.00672808000
Ghana,0.005499,-346.893,158.585,16.0277,0.00559459000,87.6781,4.61538,3.76201,Rest of World,0.00559459000
Greece,0.0135043,-56.7943,89.4494,18.4088,0.00380404000,68.8396,6.37622,4.22946,Most Developed,0.00380404000
Greenland,0.000123477,-10.2561,11.1498,10.7338,0.00001321950,0.0328933,3.20243E-07,0,Rest of World,0.00001321950
Guatemala,0.0103186,381.92,226.93,16.5469,0.01692370000,150.566,19.7545,1.772824,Rest of World,0.01692370000
Guinea,0.00572524,-267.907,158.926,13.7158,0.01531000000,73.6679,10.184,0.630966,Least Developed,0.01531000000
Guinea-Bissau,0.00449469,-246.831,198.145,18.3779,0.00857644000,43.1174,11.7141,0.844972,Least Developed,0.00857644000
Guyana,0.00415694,107.175,299.325,12.958,0.00105848000,3.70017,0.415427,0.04909482,Rest of World,0.00105848000
Haiti,0.0112273,60.9525,96.5635,12.9775,0.03035820000,277.113,39.3053,4.55124,Least Developed,0.03035820000
Honduras,0.0113782,344.005,207.944,16.3328,0.00878591000,67.4859,13.9856,0.669418,Rest of World,0.00878591000
Hungary,0.01483,32.4767,133.445,16.0531,0.00098158800,43.2507,11.9501,12.6983,Rest of World,0.00098158800
Iceland,0.00117856,-144.619,141.09,14.8305,0.00073006300,2.90182,0.614087,0,Most Developed,0.00073006300
India,0.00837819,-104.863,91.4888,13.4614,0.04021880000,397.777,41.2588,26.54163,Rest of World,0.04021880000
Indonesia,0.0127267,133.642,358.137,13.4128,0.01330830000,119.371,4.88033,2.681185,Rest of World,0.01330830000
Iran,0.00330922,-123.779,48.0895,14.4474,0.00355261000,81.9605,5.25391,1.178482,Rest of World,0.00355261000
Iraq,0.00274591,-128.556,43.2354,13.8546,0.00259120000,63.8357,2.40738,0.1505702,Rest of World,0.00259120000
Ireland,0.0136207,240.657,275.621,16.1281,0.00303648000,62.4461,70.6167,0.502826,Most Developed,0.00303648000
Israel,0.0102594,58.9943,59.9693,16.9427,0.00542272000,626.077,17.1935,0.946373,Rest of World,0.00542272000
Italy,0.0190038,233.251,100.421,15.9712,0.01161200000,191.444,19.4433,6.52401,Most Developed,0.01161200000
Japan,0.028694,184.216,235.617,16.4787,0.02341730000,330.194,10.5379,0.890903,Most Developed,0.02341730000
Jordan,0.0024688,-57.1458,50.4975,15.1841,0.00230547000,338.908,2.04448,0.1082865,Rest of World,0.00230547000
Kazakhstan,0.00281375,-170.405,64.8956,14.2326,0.00106875000,9.01583,1.55434,0.469213,Rest of World,0.00106875000
Kenya,0.00400665,-198.048,89.1867,15.5193,0.00563707000,86.8528,14.3311,0.462217,Rest of World,0.00563707000
Kuwait,0.00771243,-25.531,41.015,17.1542,0.00000011126,0.0047979,5.37914,0,Rest of World,0.00000011126
Kyrgyz Republic,0.00209159,-134.573,42.2053,13.52,0.01540010000,86.6402,4.52919,0.142974,Rest of World,0.01540010000
Laos,0.0127898,423.464,134.107,15.2501,0.01525410000,52.1057,4.94656,0.2613783,Least Developed,0.01525410000
Latvia,0.00895253,107.196,212.67,15.6082,0.00222300000,20.3758,9.59477,0.709995,Rest of World,0.00222300000
Lesotho,0.00538113,76.6208,91.8175,14.6232,0.01535620000,63.846,29.5166,0.6752708,Least Developed,0.01535620000
Liberia,0.00467787,-10.8761,228.499,14.2367,0.00916784000,35.6531,0.60552,0.264902,Least Developed,0.00916784000
Libya,0.000645539,-9.1032,28.2584,14.4966,0.00177684000,22.9904,0.287582,0.058751,Rest of World,0.00177684000
Lithuania,0.00958711,95.7936,192.096,15.6771,0.00373637000,38.4481,10.4946,3.32405,Rest of World,0.00373637000
Madagascar,0.00433489,379.951,131.871,15.1793,0.00747067000,35.0321,9.85734,0.2674177,Least Developed,0.00747067000
Malawi,0.00525974,90.9482,105.092,16.5459,0.00849615000,104.88,5.19157,2.003828,Least Developed,0.00849615000
Malaysia,0.0234106,37.8372,300.872,12.8747,0.01056030000,81.4056,3.05187,2.494171,Rest of World,0.01056030000
Mali,0.00104462,-104.906,39.6888,13.0783,0.00359760000,30.9193,4.0271,0.2037961,Rest of World,0.00359760000
Mauritania,0.000453491,-33.2716,20.8589,12.177,0.00132388000,10.8968,1.44308,0.0069804,Least Developed,0.00132388000
Mexico,0.00665561,25.0778,173.693,15.8703,0.00338371000,75.5484,11.2858,1.738976,Rest of World,0.00338371000
Moldova,0.00717676,-11.6087,145.977,11.978,0.00114972000,77.6956,10.0095,9.49697,Rest of World,0.00114972000
Mongolia,0.00101385,-107.467,88.8067,15.0103,0.00081051400,3.76856,1.3944,0.001036308,Rest of World,0.00081051400
Montenegro,0.00764733,62.9023,97.4012,13.0177,0.01268360000,33.725,6.43375,1.329821,Rest of World,0.01268360000
Morocco,0.00209847,-72.1964,47.8769,19.6958,0.00548547000,127.643,4.18734,3.827406,Rest of World,0.00548547000
Mozambique,0.0047461,235.397,138.102,16.5674,0.00416584000,24.0153,1.19002,0.2000643,Least Developed,0.00416584000
Myanmar,0.00659677,286.929,150.758,14.8371,0.01954290000,75.8,13.0894,2.559104,Least Developed,0.01954290000
Namibia,0.00160261,-99.5184,39.8663,19.0318,0.00040744000,4.35131,1.92838,0.002324322,Rest of World,0.00040744000
Nepal,0.00314968,158.731,137.249,14.9011,0.10118300000,448.013,31.0744,6.076889,Least Developed,0.10118300000
Netherlands,0.064858,165.376,220.538,15.1038,0.00114647000,259.288,119.473,2.730018,Most Developed,0.00114647000
New Caledonia,0.00884753,89.437,199.21,16.5773,0.00363810000,17.7044,0.199081,0.00111735,Rest of World,0.00363810000
New Zealand,0.0148315,465.566,179.7,20.1672,0.00152740000,12.2317,29.4692,0.01677144,Most Developed,0.00152740000
Nicaragua,0.00573134,-4.42962,209.49,18.0189,0.00552482000,41.5379,18.21,1.103351,Rest of World,0.00552482000
Niger,0.000732651,-97.0926,28.6734,13.8813,0.00269347000,45.3253,4.38719,3.280988,Least Developed,0.00269347000
Nigeria,0.00653831,-271.444,108.724,15.2029,0.01375530000,147.405,13.614,9.61196,Rest of World,0.01375530000
North Korea,0.0116372,53.6012,77.6733,12.6858,0.02235760000,210.738,6.49634,2.443201,Rest of World,0.02235760000
Norway,0.00298342,-118.489,162.271,13.1634,0.00349393000,13.2476,2.33394,0.02290886,Most Developed,0.00349393000
Oman,0.000786825,-18.5846,35.151,15.1044,0.00063617700,1.75772,0.678488,0.011930288,Rest of World,0.00063617700
Pakistan,0.00340114,-114.452,51.2376,13.7735,0.01370330000,150.545,24.3397,6.511828,Rest of World,0.01370330000
Panama,0.0125102,-136.918,255.083,16.2438,0.00781488000,43.1598,13.7182,0.4553468,Rest of World,0.00781488000
Papua New Guinea,0.00760021,587.492,339.754,11.0318,0.00464401000,13.7745,0.684052,0.0148474,Rest of World,0.00464401000
Paraguay,0.00427607,43.0438,151.813,13.5631,0.00226650000,15.3366,16.2678,1.504543,Rest of World,0.00226650000
Peru,0.00421213,452.824,233.912,15.6687,0.00255238000,21.2417,3.54995,0.0469367,Rest of World,0.00255238000
Philippines,0.012768,84.7253,186.969,15.8165,0.02849460000,273.038,12.2013,9.16006,Rest of World,0.02849460000
Poland,0.0202637,71.2311,155.669,17.0606,0.00512864000,112.718,20.6461,5.472292,Most Developed,0.00512864000
Portugal,0.0166172,290.387,135.557,15.8219,0.00663192000,87.4482,16.6071,2.62604,Most Developed,0.00663192000
