Country,AQ,CSEQ,CSTORE,REC,WQ,WA,LIVE,CROP,Dev,avg_gini9505,avg_gini8595,Data.Quality,HDI,Per.Capita.GDP,Region,Income.Group,gini_change,Approximate.year_90,Survey.year_90,Survey.type_90,Palma.ratio_90,Share.of.richest.10._90,Share.of.poorest.40._90,Share.of..middle..50._90,Gini.index_90,Approximate.year_2012,Survey.year_2012,Survey.type_2012,Palma.ratio_2012,Share.of.richest.10._2012,Share.of.poorest.40._2012,Share.of..middle..50._2012,Gini.index_2012,palma_change,total_EF9505,crop_EF9505,grazing_EF9505,forest_EF9505,fishing_EF9505,carbon_EF9505,total_EF8595,crop_EF8595,grazing_EF8595,forest_EF8595,fishing_EF8595,carbon_EF8595,total_EF0515,crop_EF0515,grazing_EF0515,forest_EF0515,fishing_EF0515,carbon_EF0515,EFExportsPerCap_total_EF9505,EFExportsPerCap_crop_EF9505,EFExportsPerCap_grazing_EF9505,EFExportsPerCap_forest_EF9505,EFExportsPerCap_fishing_EF9505,EFExportsPerCap_carbon_EF9505,EFImportsPerCap_total_EF9505,EFImportsPerCap_crop_EF9505,EFImportsPerCap_grazing_EF9505,EFImportsPerCap_forest_EF9505,EFImportsPerCap_fishing_EF9505,EFImportsPerCap_carbon_EF9505,EFExportsPerCap_total_EF8595,EFExportsPerCap_crop_EF8595,EFExportsPerCap_grazing_EF8595,EFExportsPerCap_forest_EF8595,EFExportsPerCap_fishing_EF8595,EFExportsPerCap_carbon_EF8595,EFImportsPerCap_total_EF8595,EFImportsPerCap_crop_EF8595,EFImportsPerCap_grazing_EF8595,EFImportsPerCap_forest_EF8595,EFImportsPerCap_fishing_EF8595,EFImportsPerCap_carbon_EF8595,EFExportsPerCap_total_EF0515,EFExportsPerCap_crop_EF0515,EFExportsPerCap_grazing_EF0515,EFExportsPerCap_forest_EF0515,EFExportsPerCap_fishing_EF0515,EFExportsPerCap_carbon_EF0515,EFImportsPerCap_total_EF0515,EFImportsPerCap_crop_EF0515,EFImportsPerCap_grazing_EF0515,EFImportsPerCap_forest_EF0515,EFImportsPerCap_fishing_EF0515,EFImportsPerCap_carbon_EF0515,EF_change05.95,EF_change95.85,EF_cropchange05.95,EF_cropchange95.85,EF_grazingchange05.95,EF_grazingchange95.85,EF_forestchange05.95,EF_forestchange95.85,EF_fishingchange05.95,EF_fishingchange95.85,EF_carbonchange05.95,EF_carbonchange95.85,ImpExp_EFratio0515,ImpExp_EFratio8595,ImpExp_EFratio9505
Armenia,0.00386137,-76.2917,108.943,17.2042,0.0039424,99.7908,14.748,0.863905,Rest of World,38.93789251,27.74247951,3B,0.727811,3426.39,Middle East/Central Asia,LM,11.195413,1990,1996,I,2.360589812,35.22,14.92,49.88,44.42,2012,2012,C,1.150393336,24.86,21.61,53.52,30.48,-1.210196476,0.278037499,0.117421208,0.039596911,0.008217381,0.003920295,0.108881701,0.203760597,0.106818596,0.04758745,1.04E-05,0.000492013,0.048852175,0.464959447,0.15653424,0.04232951,0.031372715,0.007205166,0.227517817,0.064094775,0.006615113,0.002812394,0.001489274,0.00073316,0.052444835,0.491980223,0.228227304,0.076381429,0.014945488,0.00710743,0.165318568,0.028889747,0.002255251,0.002563002,3.84E-06,3.81E-05,0.024029524,0.378631447,0.211381942,0.092611898,1.69E-05,0.000945898,0.073674825,0.118967645,0.012929514,0.003403402,0.000560054,0.002612035,0.099462641,0.810951249,0.300138965,0.081255618,0.062185376,0.011798297,0.355572993,0.186921948,0.074276902,0.039113031,0.010602612,0.002732598,-0.007990538,0.023155334,0.008207019,0.003284871,0.003428282,0.118636115,0.060029527,6.816569723,13.10608374,7.675824158
Australia,0.00331551,-183.398,79.7474,14.12,0.000966308,7.11269,3.08753,1.045809,Most Developed,31.07359543,30.23579559,5,0.93219,66604.2,Asia-Pacific,HI,0.837799837,1990,1989,I,1.258278146,24.7,19.63,55.68,33.15,2012,2010,I,1.402219873,26.53,18.92,54.56,34.94,0.143941727,4.288757356,1.367743068,0.954735944,0.202833555,0.054823575,1.708621213,3.411919235,1.080621441,0.951934119,0.14297562,0.035250502,1.201137553,4.288414362,1.257343656,0.685486865,0.22436021,0.052250263,2.068973368,7.026804644,2.621688759,1.851528062,0.130953046,0.028974483,2.393660294,1.550710069,0.113797378,0.057943826,0.274714065,0.080672668,1.023582131,5.696976395,2.075235462,1.842367231,0.039207258,0.021245444,1.718921,1.126862075,0.086007421,0.061501008,0.246743981,0.04925556,0.683354105,6.536001606,2.345230848,1.330552143,0.171356457,0.016321234,2.672540926,2.040827118,0.169456463,0.040421588,0.277363962,0.088179293,1.465405811,-0.000342994,0.876838121,-0.110399413,0.287121627,-0.269249079,0.002801825,0.021526654,0.059857936,-0.002573312,0.019573073,0.360352156,0.50748366,0.312243974,0.197800025,0.220684955
Austria,0.0139509,147.454,124.405,15.4582,0.02033,152.198,20.9333,1.959381,Most Developed,26.85481754,25.46629794,5,0.883921,51274.1,EU-27,HI,1.388519597,1990,2004,I,1.097516099,23.86,21.74,54.4,29.87,2012,2012,I,1.112956811,23.45,21.07,55.47,30.48,0.015440712,5.273385866,0.470357887,0.117540649,1.82918501,0.030134923,2.826167397,3.429170859,0.274044827,0.063172505,1.193427889,0.028127219,1.870398418,6.86459949,0.704535519,0.170746812,2.040860509,0.038475089,3.90998156,5.0076342,0.422730892,0.087732472,2.194906121,0.007388469,2.294876246,5.539137531,0.517984882,0.147348825,1.463463899,0.052881378,3.357458547,3.33244454,0.230077204,0.054340842,1.480365334,0.001650341,1.56601082,3.525897177,0.318012451,0.072004168,0.906490445,0.054604098,2.174786016,6.472867258,0.631713222,0.120334864,2.444224443,0.010453553,3.266141175,7.256331722,0.777357815,0.22115876,1.637496576,0.066496624,4.553821946,1.591213624,1.844215007,0.234177632,0.19631306,0.053206164,0.054368143,0.211675499,0.635757121,0.008340165,0.002007704,1.083814164,0.955768979,1.121038241,1.05805127,1.106138609
Azerbaijan,0.00510696,-123.845,90.0692,13.4842,0.0029026,39.8061,19.4224,1.331342,Rest of World,29.82236485,31.05752343,6,0.745053,7106.04,Middle East/Central Asia,UM,-1.235158581,1990,1995,C,1.400837258,26.77,19.11,54.12,34.65,2012,2005,C,0.58481693,17.41,29.77,52.8,16.64,-0.816020328,0.286967971,0.082809237,0.013573023,0.018027302,0.001873764,0.170684644,0.157507772,0.078958235,0.031615623,9.82E-05,0.000440581,0.046395122,0.558984391,0.138825595,0.012700151,0.049135085,0.004521534,0.353802025,0.170756468,0.024687698,0.008033665,0.00049086,0.000805951,0.136738293,0.403179473,0.140930776,0.019112382,0.035563744,0.002941577,0.204630995,0.067606775,0.027428568,0.013093268,9.90E-05,0.00017033,0.026815623,0.247408769,0.130487903,0.050137979,9.74E-05,0.000710833,0.065974622,0.372600514,0.045336513,0.002401944,0.000319919,0.000287886,0.324254251,0.745368268,0.232314677,0.022998358,0.097950252,0.008755182,0.383349798,0.27201642,0.129460199,0.056016358,0.003851002,-0.000872872,-0.0180426,0.031107784,0.017929088,0.00264777,0.001433182,0.183117381,0.124289522,2.000448846,3.659526288,2.361137343
Belarus,0.00776775,116.128,254.002,14.5247,0.00405603,56.1201,14.6844,2.32424,Rest of World,22.95848167,23.66013677,6,0.796129,6300.45,Other Europe,UM,-0.701655098,1990,1988,I,0.757097792,19.2,25.36,55.43,22.76,2012,2012,C,0.905803196,21.54,23.78,54.68,26.01,0.148705404,1.167755399,0.166232098,0.064980006,0.118569963,0.044195632,0.773777701,0.785899631,0.155359238,0.064967779,0.014141802,0.01686162,0.534569192,1.862671112,0.281677212,0.070623621,0.19210734,0.064879302,1.253383637,1.081372473,0.118053862,0.054460756,0.172510889,0.008448109,0.727898857,1.254138325,0.214410334,0.075499256,0.064629036,0.079943154,0.819656544,0.656017677,0.080651546,0.053956342,0.02734352,0.002179911,0.49188636,0.915781584,0.230066929,0.075979216,0.000940085,0.031543329,0.577252025,1.928550709,0.340816858,0.089484362,0.268285996,0.023633238,1.206330254,1.796791516,0.222537566,0.05176288,0.115928684,0.106125366,1.30043702,0.694915714,0.381855768,0.115445114,0.010872861,0.005643615,1.22E-05,0.073537378,0.104428161,0.020683671,0.027334012,0.479605936,0.239208508,0.931679685,1.395970895,1.159765351
Belgium,0.0571336,220.119,110.622,15.7609,0.00335412,377.854,86.3099,2.033246,Most Developed,26.47243244,23.69310912,6,0.888567,48053.3,EU-27,HI,2.779323317,1990,2004,I,1.154800184,25.14,21.77,53.09,30.63,2012,2012,I,0.964003512,21.96,22.78,55.26,27.59,-0.190796672,12.10429687,2.298633096,0.47153859,1.32766405,0.140002807,7.866458326,8.011956786,1.801218856,0.539319569,0.775871446,0.107614762,4.787932152,14.72862469,2.604878025,0.463010199,1.677143328,0.172512404,9.811080738,10.94700792,2.011597437,0.195148864,1.121792363,0.099993717,7.51847554,13.26158582,2.585668756,0.747928317,1.533535737,0.180011897,8.214441112,7.056926766,1.503306281,0.209165692,0.574788834,0.063532518,4.706133441,8.966986806,2.099131432,0.869473447,0.976954058,0.151697006,4.869730862,13.40472994,2.314210529,0.209233626,1.495234239,0.132734486,9.253317061,16.05251945,2.89554552,0.716786772,1.859052417,0.212290322,10.36884442,2.624327824,4.092340084,0.306244928,0.49741424,-0.008528392,-0.067780979,0.349479278,0.551792604,0.032509597,0.032388045,1.944622412,3.078526174,1.197526509,1.270664569,1.211434752
Bolivia,0.00391944,332.029,170.536,15.8658,0.00129596,10.5542,5.30574,0.082408,Rest of World,54.57349773,47.41985601,5,0.653591,2253.09,Latin America,LM,7.15364172,1990,1990.5,I,2.077225131,31.74,15.28,52.98,42.04,2012,2012,I,2.743254293,33.55,12.23,54.22,46.7,0.666029162,0.255136349,0.126518726,0.008617657,0.011460998,0.002295394,0.106243566,0.138586003,0.051927059,0.018069069,0.009173042,0.000945163,0.058471669,0.350669703,0.150459177,0.007830647,0.019441568,0.002992526,0.169945781,0.274567085,0.178857456,0.011691147,0.007370179,2.95E-05,0.076618786,0.235705614,0.074179997,0.005544167,0.015551817,0.004561286,0.135868347,0.136893462,0.048047332,0.031494797,0.011262517,0.000189373,0.04589944,0.140278544,0.055806785,0.004643341,0.007083568,0.001700952,0.071043898,0.396418938,0.238099735,0.01056911,0.01435012,5.71E-06,0.133394255,0.304920467,0.062818619,0.005092185,0.024533016,0.00597934,0.206497307,0.095533353,0.116550346,0.023940451,0.074591667,-0.00078701,-0.009451412,0.00798057,0.002287956,0.000697132,0.001350232,0.063702215,0.047771898,0.769187436,1.024727855,0.858462745
Bosnia and Herzegovina,0.0127188,125.931,91.9662,12.0695,0.0121536,81.3678,9.68324,0.909743,Rest of World,30.64897157,30.32635765,5,0.725661,4708.85,Other Europe,UM,0.322613924,1990,2001,C,1.081165919,24.11,22.3,53.59,29.3,2012,2007,C,1.271667511,25.09,19.73,55.19,33.04,0.190501592,0.807395457,0.179832099,0.100996933,0.066747269,0.009289098,0.450530059,0.233532271,0.051011839,0.022775289,0.001407919,0.002079673,0.156257551,1.602613482,0.239910012,0.091030468,0.215170423,0.014524705,1.041977874,0.591453132,0.022150343,0.014255854,0.095500387,0.002843437,0.456703112,1.023337783,0.337513855,0.187738012,0.037994151,0.015734758,0.444357006,0.165863065,0.013518912,0.005710529,0.001761072,0.001640984,0.143231568,0.301201477,0.088504766,0.039840048,0.001054766,0.002518363,0.169283535,1.534966509,0.065266195,0.044173228,0.278519947,0.005830874,1.141176264,1.670260456,0.414553828,0.137887708,0.151820899,0.023218537,0.942779484,0.795218025,0.573863187,0.060077913,0.12882026,-0.009966465,0.078221644,0.148423154,0.06533935,0.005235608,0.007209424,0.591447815,0.294272508,1.088141302,1.815964743,1.730209423
Botswana,0.00313331,52.0035,70.6467,16.9719,0.000368937,4.00522,2.36043,0.002740316,Rest of World,50.64629127,52.73490477,3B,0.69136,7743.5,Africa,UM,-2.088613506,1990,1993.33,C,5.746352413,51.2,8.91,39.9,60.79,2012,2009.25,C,5.815943728,49.61,8.53,41.86,60.46,0.069591315,1.013826209,0.109549283,0.260939437,0.011304269,0.008088257,0.623944965,1.146519542,0.097735664,0.420316706,0.004369963,0.010673063,0.613424147,1.393864823,0.133933282,0.332575198,0.020395206,0.01192614,0.895034997,0.835436929,0.015652711,0.473727738,0,0.000325268,0.345731215,1.19221549,0.203445855,0.048151137,0.022608538,0.015851246,0.902158714,1.570054324,0.013116194,0.799711914,0,0.000622989,0.756603226,0.722984761,0.182355134,0.040921497,0.008739925,0.020723138,0.470245068,0.848489139,0.024567968,0.616920962,0.000696506,0.000716509,0.205587194,1.939240506,0.243298596,0.048229434,0.040093907,0.023135771,1.5844828,0.380038613,-0.132693333,0.024383999,0.011813619,0.07163576,-0.159377268,0.009090938,0.006934306,0.003837883,-0.002584806,0.271090032,0.010520818,2.285521898,0.460483915,1.427056248
Brazil,0.00572113,151.168,188.801,16.4944,0.00206279,21.7067,16.3662,1.192973,Rest of World,50.32305743,51.59158738,5,0.746488,13237.6,Latin America,UM,-1.268529942,1990,1990,I,6.170731707,48.07,7.79,44.15,60.49,2012,2012,I,3.777878513,41.67,11.03,47.29,52.67,-2.392853194,0.484176521,0.166617956,0.054786075,0.065071325,0.005237935,0.192463231,0.307701483,0.110311774,0.036400711,0.034274384,0.003529585,0.123185029,0.704584824,0.230709795,0.0955445,0.103278833,0.00592911,0.269122586,0.637943333,0.252629378,0.09884218,0.110765593,0.00338861,0.172317573,0.330409709,0.080606534,0.01072997,0.019377057,0.00708726,0.212608889,0.389649425,0.157857752,0.050195328,0.058724236,0.001790325,0.121081785,0.225753541,0.062765796,0.022606095,0.009824533,0.005268846,0.125288272,1.001917774,0.393944494,0.18563637,0.181859199,0.002589676,0.237888036,0.407251873,0.067475095,0.005452631,0.024698466,0.009268544,0.300357137,0.220408303,0.176475038,0.064091839,0.056306182,0.040758426,0.018385363,0.038207508,0.030796941,0.000691175,0.00170835,0.076659356,0.069278202,0.406472351,0.579376041,0.517929558
